name,official_name,population,region,capital
Caribbean Netherlands,"Bonaire, Sint Eustatius and Saba",25987,Americas,Kralendijk
Papua New Guinea,Independent State of Papua New Guinea,8947027,Oceania,Port Moresby
Taiwan,Republic of China (Taiwan),23503349,Asia,Taipei
Uzbekistan,Republic of Uzbekistan,34232050,Asia,Tashkent
South Korea,Republic of Korea,51780579,Asia,Seoul
Argentina,Argentine Republic,45376763,Americas,Buenos Aires
Belize,Belize,397621,Americas,Belmopan
Togo,Togolese Republic,8278737,Africa,Lomé
Réunion,Réunion Island,840974,Africa,Saint-Denis
Serbia,Republic of Serbia,6908224,Europe,Belgrade
United States Virgin Islands,Virgin Islands of the United States,106290,Americas,Charlotte Amalie
Moldova,Republic of Moldova,2617820,Europe,Chișinău
Mexico,United Mexican States,128932753,Americas,Mexico City
Cambodia,Kingdom of Cambodia,16718971,Asia,Phnom Penh
United States Minor Outlying Islands,United States Minor Outlying Islands,300,Americas,Washington DC
Nauru,Republic of Nauru,10834,Oceania,Yaren
Hungary,Hungary,9749763,Europe,Budapest
Somalia,Federal Republic of Somalia,15893219,Africa,Mogadishu
Albania,Republic of Albania,2837743,Europe,Tirana
Wallis and Futuna,Territory of the Wallis and Futuna Islands,11750,Oceania,Mata-Utu
Cape Verde,Republic of Cabo Verde,555988,Africa,Praia
Japan,Japan,125836021,Asia,Tokyo
Burundi,Republic of Burundi,11890781,Africa,Gitega
Central African Republic,Central African Republic,4829764,Africa,Bangui
French Guiana,Guiana,254541,Americas,Cayenne
American Samoa,American Samoa,55197,Oceania,Pago Pago
Saint Lucia,Saint Lucia,183629,Americas,Castries
Grenada,Grenada,112519,Americas,St. George's
Uganda,Republic of Uganda,45741000,Africa,Kampala
Kazakhstan,Republic of Kazakhstan,18754440,Asia,Astana
French Polynesia,French Polynesia,280904,Oceania,Papeetē
Equatorial Guinea,Republic of Equatorial Guinea,1402985,Africa,Malabo
Honduras,Republic of Honduras,9904608,Americas,Tegucigalpa
Lebanon,Lebanese Republic,6825442,Asia,Beirut
Kenya,Republic of Kenya,53771300,Africa,Nairobi
Romania,Romania,19286123,Europe,Bucharest
Anguilla,Anguilla,13452,Americas,The Valley
Cayman Islands,Cayman Islands,65720,Americas,George Town
Liechtenstein,Principality of Liechtenstein,38137,Europe,Vaduz
Guadeloupe,Guadeloupe,400132,Americas,Basse-Terre
Netherlands,Kingdom of the Netherlands,16655799,Europe,Amsterdam
Austria,Republic of Austria,8917205,Europe,Vienna
Mauritius,Republic of Mauritius,1265740,Africa,Port Louis
Marshall Islands,Republic of the Marshall Islands,59194,Oceania,Majuro
Samoa,Independent State of Samoa,198410,Oceania,Apia
Svalbard and Jan Mayen,Svalbard og Jan Mayen,2562,Europe,Longyearbyen
Nepal,Federal Democratic Republic of Nepal,29136808,Asia,Kathmandu
Liberia,Republic of Liberia,5057677,Africa,Monrovia
Singapore,Republic of Singapore,5685807,Asia,Singapore
Mayotte,Department of Mayotte,226915,Africa,Mamoudzou
